fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2017,tons_2020,tons_2022,tons_2023,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2020,value_2022,value_2023,value_2025,value_2030,value_2035,value_2040,value_2045,value_2050,tons_2020_low,tons_2022_low,tons_2023_low,tons_2025_low,tons_2030_low,tons_2035_low,tons_2040_low,tons_2045_low,tons_2050_low,tons_2020_high,tons_2022_high,tons_2023_high,tons_2025_high,tons_2030_high,tons_2035_high,tons_2040_high,tons_2045_high,tons_2050_high,value_2020_low,value_2022_low,value_2023_low,value_2025_low,value_2030_low,value_2035_low,value_2040_low,value_2045_low,value_2050_low,value_2020_high,value_2022_high,value_2023_high,value_2025_high,value_2030_high,value_2035_high,value_2040_high,value_2045_high,value_2050_high
,11,11,,,1,,1,1,51.010231,54.771503,58.250877,59.925682,70.330154,85.844765,102.20697,125.10751,154.24342,182.80127,67.465919,72.440563,77.042368,79.257458,93.01837,113.537929,135.178514,165.466677,204.001711,241.772199,54.771503,57.668369,59.326427,69.626854,84.98632,101.184898,123.856438,152.700989,180.973251,54.771503,59.120759,61.13517,72.462188,94.429245,161.633305,199.86449,246.114143,290.019138,72.440563,76.271945,78.464883,92.088186,112.40255,133.826729,163.81201,201.961694,239.354477,72.440563,78.19287,80.857122,95.838189,124.891722,213.775538,264.339944,325.509543,383.578106
,11,19,,,1,,1,1,385.622345,416.83319,435.5993,443.4968,500.27692,584.45044,662.01581,780.97656,940.07111,1085.843,510.022522,551.301858,576.121842,586.567032,661.664185,772.991739,875.579376,1032.916378,1243.334165,1436.131494,416.83319,431.243317,439.061829,495.274139,578.605957,655.39563,773.166809,930.67041,1074.984619,416.83319,442.654509,452.926702,515.986056,642.895508,1005.899048,1199.147437,1442.554943,1656.109565,551.301858,570.360624,580.701361,655.047543,765.261822,866.823582,1022.587215,1230.900823,1421.770179,551.301858,585.453027,599.038987,682.441028,850.290913,1330.39793,1585.987451,1907.917215,2190.363675
,11,129,,,1,,1,1,1.360447,1.46333,1.484941,1.479413,1.495874,1.639743,1.733747,1.962994,2.306109,2.596105,1.799322,1.935395,1.963977,1.956666,1.978437,2.168718,2.293047,2.596249,3.050051,3.433599,1.46333,1.478202,1.477543,1.480915,1.623346,1.716409,1.943365,2.283048,2.581871,1.46333,1.508397,1.510378,1.540117,1.803718,2.252928,2.573421,3.018508,3.381886,1.935395,1.955064,1.954192,1.958653,2.147031,2.270116,2.570286,3.01955,3.414773,1.935395,1.995,1.99762,2.036953,2.38559,2.979714,3.403596,3.992267,4.472869
,11,131,,,1,,1,1,12.489625,13.838289,13.764516,13.72366,14.873157,17.604208,18.407513,19.798471,22.457041,24.375181,16.518726,18.302464,18.204892,18.150855,19.671175,23.283253,24.3457,26.185376,29.701589,32.238514,13.838289,13.690191,13.67779,14.724425,17.428165,18.223438,19.765579,22.090315,23.626814,13.838289,14.04502,14.127085,15.384559,19.36463,23.344375,25.405234,28.82505,31.035069,18.302464,18.10659,18.090188,19.474464,23.05042,24.102243,26.141873,29.216559,31.248727,18.302464,18.575885,18.684424,20.347555,25.611578,30.875174,33.600858,38.123892,41.046854
,11,139,,,1,,1,1,5.134423,5.821458,5.785233,5.784632,6.36465,7.631062,8.063235,8.768422,10.056874,10.985498,6.790767,7.699438,7.651526,7.650732,8.417861,10.092813,10.664403,11.59708,13.301182,14.529377,5.821458,5.760764,5.778589,6.301004,7.554752,7.982603,8.680738,9.922363,10.646493,5.821458,5.890119,5.929652,6.565658,8.394169,10.321627,11.348258,13.004026,14.088071,7.699438,7.619164,7.642739,8.333683,9.991885,10.557759,11.48111,13.123278,14.081009,7.699438,7.790247,7.842534,8.683713,11.102094,13.651343,15.009161,17.199073,18.632827
,11,280,,,1,,1,1,135.075287,146.21384,147.76642,148.53609,165.95808,191.44479,216.87465,257.07385,313.16272,364.25037,178.650009,193.381809,195.435247,196.453207,219.495468,253.204083,286.837503,340.004802,414.187703,481.75601,146.21384,146.288757,147.05072,164.298508,189.53035,214.705902,254.503113,310.031097,360.60788,146.21384,150.240265,151.869463,169.709644,210.589279,303.634859,363.914311,443.854505,514.70649,193.381809,193.480894,194.488675,217.300513,250.672042,283.969128,336.604754,410.045826,476.93845,193.381809,198.707146,200.861917,224.457265,278.524491,401.586194,481.311544,587.040112,680.748649
,11,379,,,1,,1,1,11.520292,12.585,13.348825,13.747952,13.232304,14.831156,17.038744,19.029207,21.94471,24.24847,15.236691,16.64487,17.655102,18.182984,17.500991,19.615626,22.535373,25.167952,29.023983,32.070928,12.585,13.215338,13.610472,13.09998,14.682844,16.868357,18.838915,21.725264,24.005985,12.585,13.551116,14.02654,13.633445,16.314272,24.332406,27.399519,31.566042,34.704571,16.64487,17.478551,18.001155,17.325981,19.41947,22.310019,24.916272,28.733744,31.750218,16.64487,17.922651,18.551444,18.031539,21.577189,32.181941,36.238492,41.749118,45.900124
,11,472,,,1,,1,1,1.044785,1.22388,1.212742,1.2163,1.376579,1.513114,1.591455,1.771465,2.095484,2.370462,1.381829,1.618699,1.603969,1.608674,1.820659,2.00124,2.104852,2.342933,2.77148,3.135164,1.22388,1.207006,1.204137,1.362814,1.497983,1.539016,1.674329,1.945576,2.160218,1.22388,1.247735,1.269684,1.434697,1.664426,1.623284,1.806894,2.137394,2.417871,1.618699,1.596382,1.592587,1.802453,1.981227,2.035497,2.214461,2.573212,2.857097,1.618699,1.65025,1.67928,1.897525,2.201364,2.146949,2.389792,2.82691,3.197867
,11,479,,,1,,1,1,36.844578,43.525005,43.84153,43.493645,44.662956,50.03373,56.41066,63.09264,73.186546,81.462341,48.730488,57.565994,57.984628,57.524517,59.071043,66.174406,74.608508,83.446067,96.796227,107.741759,43.525005,43.518912,43.058708,44.216328,49.533394,53.830062,58.263536,66.08343,71.976904,43.525005,45.395898,45.886413,46.800253,55.037106,57.538872,64.354492,74.650276,83.091583,57.565994,57.557935,56.949271,58.480333,65.512662,71.19542,77.059114,87.401675,95.196358,57.565994,60.040429,60.689182,61.897824,72.791847,76.100678,85.114989,98.732151,109.896594
,12,12,,,1,,1,1,13.523384,14.540984,15.158091,15.442401,17.959209,21.02854,23.849453,27.819315,32.556034,36.784824,56.585228,60.843122,63.42525,64.614875,75.145833,87.98868,99.792088,116.402985,136.222605,153.916923,14.540984,15.00651,15.287977,17.779617,20.818254,23.610958,27.791278,31.977747,35.623111,14.540984,15.352318,15.675629,18.45116,23.131393,24.335256,28.814729,33.73793,38.174394,60.843122,62.790997,63.968727,74.394374,87.108793,98.794167,116.28567,133.802909,149.056023,60.843122,64.237945,65.59076,77.204279,96.787548,101.824809,120.568046,141.167954,159.73123
,12,19,,,1,,1,1,2.226591,2.3246,2.402717,2.415197,2.7099,3.060978,3.306848,3.68699,4.156025,4.530445,7.441899,7.769473,8.030563,8.072273,9.057254,10.230655,11.052425,12.322966,13.890615,15.142032,2.3246,2.37869,2.391045,2.682801,3.030368,3.27378,3.65012,4.114465,4.485141,2.3246,2.441633,2.46655,2.791027,3.367075,4.036025,4.558421,5.139589,5.588444,7.769473,7.950257,7.99155,8.966681,10.128349,10.9419,12.199736,13.751709,14.990612,7.769473,8.16063,8.243911,9.328404,11.253721,13.489541,15.235537,17.177963,18.678164
,12,129,,,1,,1,1,0.399546,0.415083,0.416612,0.409787,0.41214,0.436813,0.440492,0.471368,0.518566,0.550938,1.335396,1.387326,1.392435,1.369625,1.377488,1.459952,1.472251,1.575445,1.733195,1.841392,0.415083,0.414721,0.409269,0.408018,0.432444,0.436087,0.466654,0.513381,0.547917,0.415083,0.423192,0.418364,0.423728,0.480494,0.459784,0.497576,0.54701,0.580454,1.387326,1.386115,1.367893,1.363714,1.445352,1.457528,1.559691,1.715863,1.831296,1.387326,1.414429,1.398292,1.416218,1.605947,1.536728,1.663041,1.828262,1.940041
,12,223,,,1,,1,1,1.784415,1.944338,1.949596,1.894531,1.739471,1.832801,1.845223,1.932068,2.082477,2.16312,5.964019,6.498526,6.516099,6.332057,5.813802,6.125737,6.167257,6.457516,6.960226,7.229756,1.944338,1.9301,1.875586,1.722076,1.814473,1.826771,1.912747,2.071498,2.125676,1.944338,1.984102,1.937708,1.797012,2.016081,1.934325,2.053908,2.220588,2.307598,6.498526,6.450938,6.268737,5.755664,6.06448,6.105584,6.392941,6.923532,7.104609,6.498526,6.63143,6.476367,6.006121,6.738311,6.465061,6.86474,7.421833,7.712645
,12,229,,,1,,1,1,0.327464,0.360281,0.360635,0.351779,0.344718,0.37639,0.391755,0.423131,0.468132,0.499682,1.094477,1.204162,1.205342,1.175746,1.152146,1.258001,1.309356,1.414223,1.56463,1.670077,0.360281,0.357028,0.348262,0.341271,0.372626,0.387838,0.4189,0.465171,0.489252,0.360281,0.36711,0.359968,0.356161,0.414029,0.410819,0.449811,0.498947,0.53212,1.204162,1.193289,1.163989,1.140624,1.245421,1.296263,1.40008,1.554734,1.635217,1.204162,1.226986,1.203115,1.190391,1.383801,1.373072,1.503394,1.667622,1.778496
,12,280,,,1,,1,1,1.855768,1.940189,1.93937,1.924702,2.139,2.385753,2.577652,2.887762,3.294254,3.616124,6.202501,6.484659,6.481923,6.432898,7.149141,7.973861,8.61524,9.651717,11.010326,12.086109,1.940189,1.919976,1.905455,2.11761,2.361896,2.551875,2.858885,3.261311,3.579963,1.940189,1.971838,1.967895,2.184249,2.624329,2.898816,3.291627,3.762757,4.132673,6.484659,6.417104,6.368569,7.07765,7.894122,8.529087,9.5552,10.900223,11.965248,6.484659,6.590441,6.577262,7.300377,8.771247,9.688661,11.001546,12.576195,13.81256
,19,11,,,1,,1,1,750.83252,821.14178,868.76947,893.95093,1045.6942,1264.1367,1476.4888,1769.3488,2113.1687,2446.2351,1052.646118,1151.217734,1217.990413,1253.294109,1466.033938,1772.284198,2069.995813,2480.577293,2962.603207,3429.55296,821.14178,860.081787,885.011414,1035.237305,1251.495361,1461.723877,1751.655273,2092.037109,2421.772705,821.14178,881.743118,911.99366,1078.52994,1390.550415,2243.448917,2716.739691,3242.692959,3730.956771,1151.217734,1205.810509,1240.761168,1451.373598,1754.561356,2049.295855,2455.77152,2932.977175,3395.257431,1151.217734,1236.179103,1278.589514,1512.068704,1949.512618,3145.252413,3808.792794,4546.164513,5230.696673
,19,12,,,1,,1,1,0.885063,0.966861,1.025543,1.056206,1.265578,1.517952,1.770775,2.139556,2.590137,3.028971,1.235379,1.349553,1.431462,1.474262,1.766505,2.118772,2.471664,2.986412,3.615336,4.227865,0.966861,1.015287,1.045644,1.252922,1.502773,1.753067,2.1374,2.544129,2.933312,0.966861,1.038683,1.072158,1.303466,1.669748,2.16124,2.645247,3.203117,3.736329,1.349553,1.417147,1.459519,1.74884,2.097584,2.446947,2.983402,3.551118,4.094344,1.349553,1.449804,1.496528,1.81939,2.330649,3.016679,3.69226,4.470941,5.215202
,19,19,,,1,,1,1,1910.014038,2102.8794,2186.1399,2226.2798,2503.0078,2896.1199,3218.1521,3716.6924,4333.8784,4889.6138,2681.846191,2952.647982,3069.55385,3125.914179,3514.467347,4066.435061,4518.599748,5218.59898,6085.188432,6865.495124,2102.8794,2164.278564,2204.01709,2477.977783,2867.158691,3185.970703,3679.525391,4290.539551,4840.717773,2102.8794,2221.547813,2273.616339,2584.326221,3185.731934,4698.165391,5484.960889,6395.730064,7169.207506,2952.647982,3038.858312,3094.655037,3479.322673,4025.77071,4473.413751,5166.41299,6024.336548,6796.840173,2952.647982,3119.270028,3192.379322,3628.646331,4473.078567,6596.682908,7701.420606,8980.229449,10066.267296
,19,123,,,1,,1,1,0.079046,0.090042,0.091476,0.091362,0.092878,0.10122,0.101603,0.106797,0.11473,0.119446,0.17298,0.197044,0.200182,0.199932,0.20325,0.221504,0.222343,0.233709,0.251068,0.261389,0.090042,0.090947,0.090911,0.091949,0.100208,0.100587,0.105729,0.114543,0.118052,0.090042,0.093031,0.093528,0.095946,0.111342,0.124246,0.131602,0.141342,0.146666,0.197044,0.199023,0.198945,0.201217,0.219289,0.22012,0.231372,0.25066,0.258338,0.197044,0.203585,0.204672,0.209963,0.243654,0.271894,0.287991,0.309305,0.320957
,19,129,,,1,,1,1,1.210245,1.325903,1.338496,1.333816,1.3442,1.459358,1.513705,1.677857,1.909471,2.099651,4.388119,4.807473,4.853134,4.836166,4.873816,5.291357,5.488407,6.083592,6.923382,7.612936,1.325903,1.332422,1.33213,1.330758,1.444765,1.498568,1.661078,1.890377,2.088139,1.325903,1.359639,1.361733,1.385417,1.605294,1.889899,2.114117,2.403629,2.62941,4.807473,4.831109,4.830051,4.825078,5.238443,5.433523,6.022756,6.854148,7.571195,4.807473,4.929793,4.937388,5.023258,5.820492,6.852415,7.665388,8.715103,9.533743
,19,131,,,1,,1,1,64.862656,73.199043,72.430687,72.232086,78.023575,91.465286,93.821907,98.791878,108.55243,115.08701,90.546883,102.184302,101.111693,100.83445,108.919245,127.683587,130.973379,137.911352,151.536874,160.659014,73.199043,72.039581,71.990658,77.24334,90.550636,92.88369,98.627748,106.779756,111.55361,73.199043,73.906735,74.355447,80.791447,100.611816,114.321284,121.841466,133.998161,140.865862,102.184302,100.565717,100.497422,107.830052,126.406751,129.663646,137.682231,149.06226,155.726458,102.184302,103.172224,103.798616,112.783136,140.451946,159.590072,170.088086,187.058572,196.645736
,19,139,,,1,,1,1,32.685036,37.74564,37.315956,37.320549,40.926933,48.600052,50.376789,53.631886,59.588448,63.578503,47.139553,54.438141,53.818436,53.82506,59.026319,70.092771,72.655246,77.349865,85.940637,91.69524,37.74564,37.158128,37.28156,40.517666,48.114052,49.87302,53.095566,58.791449,61.61651,37.74564,37.99249,38.256166,42.263996,53.46006,61.959086,66.713412,74.100071,78.382056,54.438141,53.59081,53.768829,58.436056,69.391843,71.928694,76.576367,84.791176,88.865583,54.438141,54.794157,55.174441,60.95468,77.102048,89.359658,96.216521,106.86983,113.045465
,19,209,,,1,,1,1,28.100883,31.461281,31.684786,31.203465,33.038368,35.551567,36.021622,38.461971,42.369415,45.025715,74.092598,82.952838,83.542146,82.273063,87.111088,93.73755,94.976926,101.411309,111.713927,118.717698,31.461281,31.367939,30.89143,32.707985,35.196053,35.890875,37.345322,40.039289,41.336583,31.461281,32.178133,31.925953,34.302491,39.106724,36.742054,39.231209,43.216805,45.926228,82.952838,82.706724,81.450332,86.239977,92.800174,94.632192,98.46708,105.570167,108.990694,82.952838,84.842937,84.178022,90.444155,103.111305,96.876465,103.439535,113.948206,121.092052
,19,280,,,1,,1,1,41.617756,45.884815,46.131214,46.382019,51.650978,59.012051,65.580597,76.103554,89.807892,102.0319,73.724525,81.283485,81.719973,82.164265,91.498058,104.537963,116.173933,134.815015,159.091812,180.74625,45.884815,45.669903,45.918198,51.134468,58.421932,64.924789,75.342522,88.909813,101.011581,45.884815,46.903525,47.422902,52.874258,64.913254,88.217329,103.544849,122.412797,138.60222,81.283485,80.902773,81.342623,90.583078,103.492583,115.012194,133.466865,157.500894,178.938787,81.283485,83.088096,84.008157,93.66506,114.991759,156.274181,183.426394,216.850361,245.529407
,19,299,,,1,,1,1,1.80859,1.973632,2.004165,1.956026,2.179128,2.44279,2.582124,2.893929,3.363502,3.76383,10.03819,10.95422,11.123685,10.8565,12.094782,13.558178,14.331526,16.06213,18.668394,20.890331,1.973632,1.984123,1.936466,2.157337,2.418362,2.442456,2.668503,3.021694,3.292364,1.973632,2.030657,1.991137,2.233235,2.687068,2.633767,2.951807,3.430772,3.839107,10.95422,11.012448,10.747935,11.973834,13.422596,13.556329,14.810949,16.771261,18.273557,10.95422,11.270724,11.051375,12.395091,14.913996,14.618157,16.383373,19.041762,21.308137
,19,319,,,1,,1,1,17.113365,19.257805,19.20966,19.074133,21.395004,23.392824,23.821575,25.50493,27.805904,29.403345,45.052692,50.69815,50.571403,50.214615,56.324547,61.584014,62.712745,67.14435,73.201901,77.407328,19.257805,19.017563,18.883392,21.181055,23.158895,22.177546,23.275796,24.862108,25.749575,19.257805,19.506845,19.486679,22.029049,25.732107,24.298006,26.015028,28.362022,29.991411,50.69815,50.065689,49.712469,55.761302,60.968173,58.384668,61.275924,65.452054,67.788403,50.69815,51.353774,51.300686,57.993734,67.742415,63.966999,68.487237,74.665939,78.955474
,19,350,,,1,,1,1,4.803844,5.219592,5.536387,5.701923,6.824669,7.407305,7.498351,7.960317,8.855294,9.508641,8.874522,9.642567,10.227807,10.533616,12.607753,13.684103,13.852298,14.705726,16.359088,17.566068,5.219592,5.481023,5.644904,6.756423,7.333232,7.423367,7.880714,8.766742,9.413555,5.219592,5.596957,5.790339,6.971035,8.148036,9.412537,10.107266,11.24608,11.999032,9.642567,10.125529,10.428279,12.481676,13.547262,13.713775,14.558668,16.195497,17.390407,9.642567,10.339703,10.696953,12.878146,15.052513,17.388526,18.671954,20.775776,22.166764
,19,379,,,1,,1,1,0.02075,0.022668,0.024043,0.024762,0.024075,0.026725,0.03012,0.032932,0.03679,0.039707,0.766989,0.837874,0.888728,0.9153,0.889894,0.987859,1.113338,1.21728,1.359869,1.46772,0.022668,0.023803,0.024515,0.023834,0.026458,0.029819,0.032603,0.036422,0.03931,0.022668,0.024408,0.025264,0.024831,0.029398,0.041328,0.045575,0.050893,0.054632,0.837874,0.87984,0.906147,0.880995,0.977981,1.102205,1.205108,1.346271,1.453043,0.837874,0.902196,0.933848,0.917838,1.086645,1.527602,1.684594,1.881175,2.019389
,19,402,,,1,,1,1,3.905381,4.430417,4.548008,4.532,4.534817,4.990643,5.153663,5.546022,6.250901,6.779798,11.737975,13.316017,13.66945,13.621335,13.629803,14.999828,15.4898,16.669071,18.787648,20.377297,4.430417,4.502528,4.48668,4.489469,4.940737,5.070085,5.367618,5.960402,6.380177,4.430417,4.620911,4.623153,4.672654,5.489707,5.256736,5.656943,6.375919,6.915394,13.316017,13.532756,13.485122,13.493505,14.84983,15.238599,16.132861,17.914526,19.176198,13.316017,13.888566,13.895305,14.044085,16.499811,15.799596,17.002453,19.163401,20.784843
,19,409,,,1,,1,1,14.93512,17.270887,17.447439,17.113235,16.027761,16.946024,16.721642,17.376671,19.227406,20.467567,40.002827,46.259041,46.731925,45.83678,42.929403,45.388914,44.787919,46.542376,51.499458,54.821158,17.270887,17.272964,16.942102,15.867484,16.776564,16.194968,16.466734,17.832503,18.567516,17.270887,17.703615,17.455686,16.496519,18.640627,17.056074,17.724203,19.611954,20.876919,46.259041,46.264605,45.378412,42.500109,44.935025,43.377256,44.105164,47.763295,49.731984,46.259041,47.418077,46.754013,44.184941,49.927805,45.683677,47.473223,52.529448,55.917581
,19,473,,,1,,1,1,2.901514,3.169672,3.36205,3.462575,3.729105,4.127685,4.422007,4.755715,5.323695,5.738185,4.049963,4.424261,4.692784,4.833097,5.205123,5.761465,6.172282,6.638076,7.430868,8.009418,3.169672,3.332792,3.46118,3.691814,4.086408,4.210645,4.38751,4.814923,5.091708,3.169672,3.489012,3.66663,3.920534,4.540454,4.510447,4.85083,5.430169,5.852949,4.424261,4.651945,4.83115,5.153071,5.70385,5.877261,6.124132,6.720719,7.107058,4.424261,4.869998,5.11792,5.472322,6.337612,6.295728,6.770838,7.579486,8.169606
,19,479,,,1,,1,1,8.960126,9.788221,10.382302,10.69273,10.971482,12.173007,13.463737,14.742241,16.565838,18.0107,12.495769,13.650628,14.479132,14.912054,15.300801,16.976444,18.776492,20.559491,23.102675,25.117676,9.788221,10.305902,10.585803,10.861768,12.051277,12.847816,13.613871,14.958041,15.913543,9.788221,10.750399,11.280982,11.508631,13.390308,13.733011,15.037086,16.897154,18.370914,13.650628,14.372584,14.762933,15.147793,16.80668,17.917531,18.98587,20.860446,22.192985,13.650628,14.992479,15.732428,16.049907,18.674089,19.152022,20.970681,23.564728,25.62003
,19,484,,,1,,1,1,0.153166,0.173635,0.175259,0.171926,0.16604,0.176202,0.174325,0.181628,0.199784,0.212362,0.953577,1.081009,1.091125,1.070374,1.033727,1.096995,1.085306,1.130774,1.243809,1.32212,0.173635,0.173971,0.170818,0.164379,0.17444,0.172581,0.181118,0.197248,0.207173,0.173635,0.179608,0.179004,0.173227,0.193822,0.177811,0.18526,0.20378,0.21661,1.081009,1.083103,1.063472,1.02339,1.086025,1.074453,1.127602,1.22802,1.289814,1.081009,1.1182,1.114439,1.078474,1.206695,1.107012,1.15339,1.268685,1.348563
,19,489,,,1,,1,1,70.100128,78.358009,79.073631,77.64959,78.905869,83.537811,83.094177,87.357994,96.055519,101.97832,225.097366,251.614112,253.912034,249.339317,253.373334,268.246889,266.822343,280.513815,308.442294,327.460894,78.358009,78.678651,76.873093,78.116814,82.702431,82.263237,86.075226,92.940799,96.840436,78.358009,80.695795,80.034052,81.681961,91.891594,84.756058,89.105156,97.976631,104.017883,251.614112,252.64372,246.845924,250.839601,265.56442,264.15412,276.394741,298.440667,310.962729,251.614112,259.120939,256.996025,262.2876,295.071578,272.15879,286.124091,314.61114,334.010112
,20,20,,,1,,1,1,3176.786621,3470.4211,3681.0503,3791.1113,4357.5562,5255.061,6124.0127,7316.9424,8708.8281,10044.399,1831.859741,2001.180921,2122.637949,2186.103458,2512.737756,3030.274266,3531.345869,4219.235907,5021.851808,5791.994586,3470.4211,3663.939673,3753.200195,4313.980469,5202.510254,6062.772461,7243.772949,8621.740234,9943.955078,3470.4211,3766.358229,3921.445453,4528.329351,5780.567383,6754.897516,8197.986707,9785.162874,11180.838278,2001.180921,2112.771294,2164.242423,2487.610378,2999.971524,3496.03241,4177.043548,4971.633289,5734.07464,2001.180921,2171.82985,2261.259225,2611.212279,3333.301693,3895.138796,4727.280614,5642.508632,6447.3098
,20,20,,,4,,1,1,0.015686,0.017136,0.018176,0.018719,0.021516,0.025948,0.030239,0.036129,0.043002,0.049596,0.963741,1.052821,1.116719,1.150108,1.321951,1.594226,1.857841,2.219739,2.641995,3.047167,0.017136,0.018091,0.018532,0.021301,0.025688,0.029936,0.035768,0.042572,0.0491,0.017136,0.018597,0.019363,0.02236,0.028543,0.033354,0.040479,0.048316,0.055208,1.052821,1.111528,1.138607,1.308731,1.578284,1.839262,2.197542,2.615575,3.016695,1.052821,1.142599,1.189648,1.373758,1.753649,2.049232,2.487021,2.968522,3.391928
,41,61,,,1,,1,1,60.903824,62.011646,64.039223,64.444855,58.764088,60.490234,65.057915,71.838669,79.006943,84.521317,264.730042,269.545402,278.358648,280.121805,255.429272,262.932296,282.786587,312.260423,343.418687,367.387961,62.011646,63.808216,64.171217,58.176449,59.885334,64.407333,71.120285,78.970743,83.155754,62.011646,65.626082,67.156799,61.637421,66.539261,67.934277,76.367567,84.61268,89.667678,269.545402,277.354535,278.932389,252.874979,260.302973,279.958721,309.137818,343.26134,361.452282,269.545402,285.256232,291.909786,267.918763,289.225526,295.289242,331.946138,367.785091,389.757596
,41,69,,,1,,1,1,24.143476,23.32448,24.243717,24.322107,21.096422,21.041481,22.474911,24.593756,26.732998,28.261583,104.944206,101.384283,105.379922,105.720659,91.699606,91.460794,97.691468,106.90143,116.200053,122.84434,23.32448,24.00128,24.078886,20.885458,20.831066,22.250162,24.347818,26.465668,27.978968,23.32448,24.591909,24.807628,21.821592,23.14563,25.304845,28.01985,30.445865,31.825357,101.384283,104.326122,104.663452,90.78261,90.546186,96.714554,105.832416,115.038052,121.615896,101.384283,106.893404,107.831068,94.851696,100.606873,109.992316,121.793601,132.338735,138.334961
,42,20,,,5,,1,1,5e-05,4.7e-05,5.1e-05,5.3e-05,5.5e-05,6.7e-05,8.2e-05,1e-04,0.000121,0.000148,0.000746,0.000705,0.000762,0.000793,0.000828,0.001007,0.001225,0.001489,0.001811,0.002202,4.7e-05,5.1e-05,5.3e-05,5.5e-05,6.7e-05,8.1e-05,9.9e-05,0.00012,0.000146,4.7e-05,5.2e-05,5.5e-05,5.8e-05,7.4e-05,8.8e-05,0.000109,0.000133,0.000161,0.000705,0.000759,0.000785,0.00082,0.000997,0.001212,0.001474,0.001793,0.00218,0.000705,0.00078,0.00082,0.00086,0.001108,0.001317,0.001628,0.001988,0.002408
,42,61,,,5,,1,1,5e-05,5.3e-05,5.6e-05,5.8e-05,5.8e-05,6.9e-05,8.5e-05,0.000107,0.000135,0.000163,0.000261,0.000275,0.000292,0.000301,0.000301,0.00036,0.000444,0.00056,0.000707,0.000853,5.3e-05,5.6e-05,5.7e-05,5.7e-05,6.8e-05,8.4e-05,0.000106,0.000135,0.000161,5.3e-05,5.7e-05,6e-05,6e-05,7.6e-05,8.7e-05,0.000112,0.000143,0.000171,0.000275,0.000291,3e-04,0.000298,0.000357,0.00044,0.000555,0.000707,0.000839,0.000275,0.000299,0.000314,0.000315,0.000396,0.000457,0.000586,0.000746,0.000892
,42,62,,,5,,1,1,5e-05,5e-05,5.5e-05,5.7e-05,5.1e-05,5.8e-05,7.1e-05,8.8e-05,0.000109,0.000129,0.000121,0.000122,0.000134,0.000138,0.000123,0.000141,0.000172,0.000213,0.000264,0.000313,5e-05,5.5e-05,5.7e-05,5e-05,5.8e-05,7e-05,8.7e-05,0.000108,0.000127,5e-05,5.7e-05,5.9e-05,5.3e-05,6.4e-05,7.4e-05,9.3e-05,0.000116,0.000136,0.000122,0.000134,0.000138,0.000122,0.00014,0.00017,0.000211,0.000262,0.000308,0.000122,0.000137,0.000143,0.000128,0.000155,0.000179,0.000225,0.000281,0.00033
,42,64,,,5,,1,1,5e-05,5e-05,5.6e-05,5.7e-05,5.4e-05,6.3e-05,7.9e-05,9.9e-05,0.000125,0.00015,0.001241,0.001251,0.001382,0.001423,0.001331,0.001573,0.001956,0.002468,0.003095,0.003733,5e-05,5.6e-05,5.7e-05,5.3e-05,6.3e-05,7.8e-05,9.8e-05,0.000123,0.00015,5e-05,5.7e-05,6e-05,5.6e-05,7e-05,8.3e-05,0.000106,0.000134,0.00016,0.001251,0.001379,0.001421,0.001318,0.001557,0.001937,0.002443,0.003064,0.003712,0.001251,0.001414,0.001478,0.001391,0.00173,0.002055,0.002636,0.003326,0.003976
,42,69,,,1,,1,1,13.217751,13.349946,14.711567,15.15158,13.806698,16.006338,19.615288,24.503653,30.570896,36.436569,20.29693,20.499927,22.590807,23.266482,21.201307,24.579033,30.120869,37.62735,46.944096,55.951314,13.349946,14.564451,15.000064,13.668631,15.846275,19.419134,24.258615,30.265188,36.072205,13.349946,14.922857,15.454038,14.267987,17.606972,21.733486,27.477681,34.284872,40.466503,20.499927,22.364899,23.033818,20.989294,24.333243,29.81966,37.251077,46.474655,55.3918,20.499927,22.915259,23.730931,21.909653,27.036937,33.373535,42.194212,52.647207,62.139604
,42,69,,,5,,1,1,5.2e-05,5.3e-05,5.8e-05,6e-05,5.4e-05,6.3e-05,7.7e-05,9.6e-05,0.00012,0.000143,0.000118,0.000119,0.000131,0.000135,0.000123,0.000143,0.000175,0.000219,0.000273,0.000325,5.3e-05,5.7e-05,5.9e-05,5.4e-05,6.2e-05,7.6e-05,9.5e-05,0.000119,0.000142,5.3e-05,5.9e-05,6.1e-05,5.6e-05,6.9e-05,8.6e-05,0.000108,0.000135,0.000159,0.000119,0.00013,0.000134,0.000122,0.000141,0.000173,0.000217,0.00027,0.000322,0.000119,0.000133,0.000138,0.000127,0.000157,0.000194,0.000245,0.000306,0.000361
